Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
2019-01-25,1.3421,6273,8.46,77105,114,55,99.21,5,14,99,626,36.63,0,0,85,8419,399.5677,0:02:50,3.09
2019-01-26,1.4654,6235,7.72,91991,74,41,99.03,4,19,148,408,32.22,0,0,129,9137,393.5285,0:02:35,2.873
2019-01-27,1.5735,2523,7.56,39856,13,7,99.3,1,8,77,142,27.57,0,0,69,3970,151.5491,0:02:17,1.17
2019-01-28,1.5442,2091,7.11,34494,12,13,97.85,2,6,64,91,27.54,0,1,58,3229,124.8178,0:02:19,0.842
2019-01-29,1.6337,2181,7.19,36756,25,3,98.78,2,11,72,162,27.57,1,1,61,3563,139.6889,0:02:21,0.992
2019-01-30,1.3393,11065,8.64,134165,138,19,98.98,8,18,174,779,40.45,0,0,156,14819,657.3504,0:02:39,6.685
2019-01-31,1.407,12866,7.62,187599,39,25,95.96,20,20,239,475,35.01,0,0,219,18103,712.8374,0:02:21,5.637
2019-02-01,1.494,5721,7.34,87398,19,12,95.83,9,11,140,207,29.58,0,0,129,8547,322.6796,0:02:15,2.65
2019-02-02,1.5374,7892,7.57,119287,1336,25,98.46,7,28,147,448,10.95,1,1,119,12133,705.7747,0:03:29,4.676
2019-02-03,1.5819,5269,7.77,78486,28,16,97.85,5,9,119,228,13.99,0,0,110,8335,310.1862,0:02:13,4.055
2019-02-04,1.517,4466,7.35,64749,13,5,97.66,4,8,87,167,16.49,0,0,79,6775,237.8702,0:02:06,2.985
2019-02-05,1.5086,5419,8.05,71817,72,16,99.13,4,6,71,456,24.04,1,1,65,8175,306.18,0:02:14,2.856
2019-02-06,1.4916,3969,7.73,54696,31,9,97.21,6,12,67,209,20.74,0,0,55,5920,218.2732,0:02:12,2.215
2019-02-07,1.5462,5895,7.62,85238,118,17,99.22,4,14,117,506,27.68,1,1,103,9115,365.6517,0:02:24,3.858
2019-02-08,1.5577,4316,5.92,82553,20,5,93.94,10,9,74,155,23.23,0,0,65,6723,237.572,0:02:07,1.908
2019-02-09,1.6293,2587,6.57,45276,26,2,98.23,2,7,65,111,21.2,0,0,58,4215,151.1926,0:02:09,1.657
2019-02-10,1.7038,2910,7.39,45770,17,5,97.24,4,6,76,141,18.81,0,0,70,4958,157.4406,0:01:54,1.839
2019-02-11,1.642,2863,7.74,41221,11,7,99.19,1,13,70,122,20.42,1,2,57,4701,149.6594,0:01:54,1.94
2019-02-12,1.445,4052,6.99,60082,65,11,99.02,3,14,76,304,29.01,0,0,62,5855,246.5174,0:02:31,2.191
2019-02-13,1.5427,1828,6.74,30143,19,2,93.51,5,4,37,72,23.52,0,0,33,2820,105.6886,0:02:14,1.105
2019-02-14,1.5979,1527,6.78,26338,16,4,98.92,1,3,44,92,22.45,1,1,41,2440,97.3526,0:02:23,1.048
2019-02-15,1.4043,5642,8.77,67826,85,22,99.44,3,16,98,529,37.3,0,0,82,7923,606.5221,0:04:35,6.325
2019-02-16,1.5784,5660,8.59,80643,23,6,98.56,4,4,124,273,26.59,0,0,120,8934,475.5415,0:03:11,4.042
2019-02-17,1.4732,6437,8.03,92763,28,16,97.62,7,6,157,287,25.23,0,0,151,9483,485.5307,0:03:04,4.333
2019-02-18,1.5011,5408,7.18,85795,16,17,99.12,2,9,138,225,22.91,0,0,129,8118,364.8183,0:02:41,3.394
2019-02-19,1.5795,6079,7.36,100114,20,17,98.44,4,24,153,253,24.55,0,0,129,9602,468.1098,0:02:55,4.232
2019-02-20,1.6138,5785,7.7,90697,27,20,97.13,9,9,170,305,24.91,0,0,161,9336,451.894,0:02:54,5.12
2019-02-21,1.6484,4559,8.29,67836,16,7,97.48,6,8,158,232,25.63,0,0,150,7515,372.4299,0:02:58,4.017
2019-02-22,1.6154,4176,7.48,69163,31,13,97.92,4,6,139,188,24.29,0,0,133,6746,309.0868,0:02:44,4.278
2019-02-23,1.5206,4771,8.12,67251,17,11,94.72,14,22,147,251,26.21,0,0,125,7255,357.1323,0:02:57,4.005
2019-02-24,1.6983,8209,8.24,125023,1094,19,98.63,9,30,185,650,14.24,3,4,155,13941,776.5155,0:03:20,9.305
2019-02-25,1.6012,5210,7.6,82155,20,20,97.64,6,15,130,248,16.78,0,0,115,8342,419.7142,0:03:01,4.002
2019-02-26,1.5351,5436,8.75,71442,21,19,98.15,5,11,146,266,22.11,0,0,135,8345,374.5192,0:02:41,5.382
2019-02-27,1.4785,7355,9.26,90194,25,16,96.53,12,15,174,334,25.44,0,0,159,10874,484.1604,0:02:40,5.014
2019-02-28,1.4819,12168,9.65,146738,38,30,99.04,5,16,308,515,26.24,0,0,292,18032,780.315,0:02:35,9.015
2019-03-01,1.4256,17108,8.53,217896,99,49,97.59,21,30,342,852,28.12,1,1,312,24389,1069.1649,0:02:37,10.593
2019-03-02,1.4426,12253,8.74,157874,36,20,98.2,9,17,270,491,26.12,0,0,253,17676,735.0168,0:02:29,6.588
2019-03-03,1.4949,8151,7.86,121578,25,24,99.14,3,24,214,345,25.57,0,0,190,12185,520.1244,0:02:33,3.391
2019-03-04,1.472,4574,7.91,65096,10,15,96.15,7,10,112,175,24.28,0,0,102,6733,281.6787,0:02:30,2.445
2019-03-05,1.5497,3107,7.53,49715,14,5,97.76,3,9,89,131,23.58,0,0,80,4815,222.753,0:02:46,1.98
2019-03-06,1.5158,3482,8.45,46739,5,9,98.05,3,11,99,151,22.64,0,0,88,5278,242.4458,0:02:45,2.457
2019-03-07,1.5805,3132,8.6,44608,10,10,97.48,3,12,133,116,21.14,0,0,121,4950,223.9637,0:02:42,2.401
2019-03-08,1.5234,2568,8.14,36033,8,6,91.86,7,12,78,79,21.04,0,0,66,3912,173.242,0:02:39,1.972
2019-03-09,1.506,2994,8.47,40381,5,8,96.23,4,16,83,102,22.05,0,0,67,4509,196.1747,0:02:36,1.957
2019-03-10,1.4958,2997,8.47,41239,8,8,99.13,1,5,83,114,24.71,0,0,78,4483,201.7741,0:02:42,1.543
2019-03-11,1.4963,3220,8.73,41884,10,16,98.29,2,6,82,115,26.15,0,0,76,4818,226.4792,0:02:49,2.41
2019-03-12,1.3983,6646,8.48,82016,135,80,99.21,5,20,108,624,30.87,1,1,88,9293,402.6273,0:02:35,5.152
2019-03-13,1.4417,8605,7.51,129538,39,44,96.58,15,7,141,424,25.68,0,0,134,12406,459.9411,0:02:13,3.917
2019-03-14,1.481,7486,8.02,107788,33,33,97.94,7,17,139,333,27.97,0,0,122,11087,459.0242,0:02:29,3.495
2019-03-15,1.488,8006,6.92,132432,24,22,98.33,6,16,156,353,27.8,0,0,140,11913,490.2198,0:02:28,3.805
2019-03-16,1.477,9236,7.02,152180,35,35,96.34,16,15,179,421,29.91,0,0,164,13642,550.3314,0:02:25,3.816
2019-03-17,1.4497,10889,7.62,163015,37,67,96.73,18,16,185,533,28.82,0,0,169,15786,588.9983,0:02:14,4.708
2019-03-18,1.4174,11479,7.96,156391,59,79,95.99,24,24,218,574,29.03,0,0,194,16270,597.3261,0:02:12,4.601
2019-03-19,1.416,10798,8.25,142646,58,57,95.01,26,0,209,495,27.88,0,0,209,15290,558.3768,0:02:11,4.185
2019-03-20,1.413,11130,8.08,149569,34,69,96.36,17,22,213,450,26.23,0,0,191,15727,547.0603,0:02:05,4.036
2019-03-21,1.3813,8143,7.56,112409,36,34,96.07,12,11,133,293,26.55,0,0,122,11248,396.6017,0:02:06,2.751
2019-03-22,1.3993,4546,6.98,67974,10,27,97.22,5,21,97,175,26.59,0,0,76,6361,240.3858,0:02:16,2.475
2019-03-23,1.4394,3903,7.88,54598,14,17,97.66,3,12,75,125,25.12,0,0,63,5618,214.9141,0:02:17,2.467
2019-03-24,1.4325,3709,8.06,49416,12,9,95.1,7,11,79,136,24.01,0,0,68,5313,196.9162,0:02:13,1.651
2019-03-25,1.4379,3814,8.21,51635,12,17,93.84,9,7,82,137,24.42,0,0,75,5484,199.8006,0:02:11,2.246
2019-03-26,1.4503,3451,7.74,49273,12,12,96.32,5,18,83,131,25.86,0,0,65,5005,193.7301,0:02:19,1.717
2019-03-27,1.4122,7402,8.43,92322,124,32,99.34,4,25,106,599,33.44,1,1,81,10453,655.657,0:03:45,5.553
2019-03-28,1.4003,9801,8.13,128112,54,33,98.11,9,21,145,466,27.93,0,0,124,13724,741.0043,0:03:14,6.12
2019-03-29,1.4595,6514,7.54,93916,34,23,98.02,6,13,112,297,26.76,0,0,99,9507,471.3315,0:02:58,4.183
2019-03-30,1.4376,6334,7.61,89191,23,21,97.39,7,9,81,261,25.64,0,0,72,9106,418.8698,0:02:45,4.113
2019-03-31,1.4877,5805,7.82,82743,20,25,96.53,7,10,107,195,25.7,0,0,97,8636,409.2898,0:02:50,4.411
2019-04-01,1.483,5795,7.96,79469,15,18,97.13,5,5,107,169,24.6,0,0,102,8594,398.1698,0:02:46,4.478
2019-04-02,1.4827,6544,8.3,84802,14,17,97.44,6,3,108,228,23.97,0,0,105,9703,450.941,0:02:47,4.895
2019-04-03,1.4844,6846,8.51,88367,19,30,96.81,6,12,151,182,22.91,0,0,139,10162,455.8841,0:02:41,4.914
2019-04-04,1.4511,9475,8.27,117520,21,31,99.01,3,23,183,299,21.58,0,0,160,13749,592.3567,0:02:35,6.996
2019-04-05,1.511,8736,8.27,113501,22,22,96.42,10,12,155,269,22.09,0,0,143,13200,579.8988,0:02:38,6.006
2019-04-06,1.5169,7210,8.27,97710,10,18,96.97,7,10,130,224,21.37,0,0,120,10937,448.0049,0:02:27,4.943
2019-04-07,1.4809,5275,7.99,71102,6,13,96.95,5,9,93,159,21.78,0,0,84,7812,320.5707,0:02:27,3.562
2019-04-08,1.48,4221,7.82,56900,16,15,99.39,1,10,81,162,21.89,0,0,71,6247,256.4877,0:02:27,2.805
2019-04-09,1.5239,3949,7.72,55593,12,11,100,0,10,75,132,21.3,0,0,65,6018,245.8182,0:02:27,3.087
2019-04-10,1.5165,3760,7.58,54279,10,6,96.24,5,13,93,128,22.68,0,0,80,5702,242.1799,0:02:32,2.714
2019-04-11,1.4912,3339,7.4,47482,10,10,95.96,4,12,79,95,22.45,0,0,67,4979,214.561,0:02:35,2.745
2019-04-12,1.5112,3631,7.43,52181,10,18,94.74,5,7,90,90,22.22,0,0,83,5487,232.9109,0:02:32,2.995
2019-04-13,1.5867,3327,7.64,49960,8,12,92.55,7,8,72,87,24.05,0,0,64,5279,244.5486,0:02:46,2.879
2019-04-14,1.4819,3652,7.8,50967,7,11,100,0,9,85,101,22.58,0,0,76,5412,229.8027,0:02:32,2.443
2019-04-15,1.5207,4204,7.97,58599,9,6,99.21,1,11,83,125,23.29,0,0,72,6393,284.698,0:02:40,4.073
2019-04-16,1.5191,5471,7.95,77021,25,11,98.65,2,12,103,146,21.36,0,0,91,8311,347.466,0:02:30,5.293
2019-04-17,1.5171,6535,7.67,90257,22,13,95.22,10,12,144,199,22.3,0,0,132,9914,445.3865,0:02:41,7.22
2019-04-18,1.4762,8874,7.89,120315,65,20,98.26,8,25,135,453,28.28,1,1,110,13100,784.0256,0:03:35,8.788
2019-04-19,1.5175,8531,7.54,126269,32,23,97.93,8,10,134,378,26.09,0,0,124,12946,705.1633,0:03:16,6.661
2019-04-20,1.5778,5855,7.14,93219,13,16,95.71,9,14,107,201,24.05,0,0,93,9238,453.8376,0:02:56,5.076
2019-04-21,1.5268,4975,7.65,72550,14,14,96.36,6,10,102,159,24.19,0,0,92,7596,347.8084,0:02:44,3.911
2019-04-22,1.5234,4316,7.58,64321,17,13,96.67,5,11,94,145,24.5,0,0,83,6575,309.983,0:02:49,3.44
2019-04-23,1.5054,4163,7.8,59927,10,12,99.24,1,10,67,131,23.69,0,0,57,6267,290.8815,0:02:47,3.847
2019-04-24,1.5734,3507,8.05,51751,7,14,98.4,2,6,76,123,23.4,0,0,70,5518,256.4642,0:02:47,2.788
2019-04-25,1.4694,3183,8.02,45303,8,8,96.69,4,11,57,117,24.27,0,0,46,4677,219.22,0:02:48,2.318
2019-04-26,1.4654,3255,8.13,45730,11,10,97.69,3,10,59,127,25.46,0,0,49,4770,217.6515,0:02:44,2.747
2019-04-27,1.4629,2899,8.03,40862,7,9,93.75,7,5,61,105,23.84,0,0,56,4241,177.0157,0:02:30,1.675
2019-04-28,1.4227,2839,8.15,39322,6,11,95.18,4,13,47,79,25.58,0,0,34,4039,169.5306,0:02:31,1.365
2019-04-29,1.4314,2733,8.37,37757,8,4,95.24,4,8,43,80,23.15,0,0,35,3912,146.7822,0:02:15,1.254
2019-04-30,1.3806,2727,8.24,36556,14,10,95.06,4,3,52,77,25.22,0,0,49,3765,150.8648,0:02:24,1.334
2019-05-01,1.4938,6172,8.56,82412,64,22,98.76,6,20,73,477,33.08,1,1,53,9220,587.3249,0:03:49,4.173
2019-05-02,1.5472,13051,9.19,171292,27,18,98.19,8,20,211,435,23.99,0,0,191,20192,1012.6816,0:03:00,10.529
2019-05-03,1.5932,11213,8.6,161213,28,14,98.06,8,22,179,405,24.22,0,0,157,17865,871.0481,0:02:55,9.81
2019-05-04,1.578,7453,8.08,111571,31,11,94.57,14,17,138,244,24.57,0,0,121,11761,567.2658,0:02:53,6.079
2019-05-05,1.6091,5375,7.8,82192,12,7,96.67,7,6,115,203,23.89,0,0,109,8649,397.0504,0:02:45,5.489
2019-05-06,1.5978,4160,7.63,66793,13,11,98.43,2,9,68,125,25.48,0,0,59,6647,320.3501,0:02:53,3.285
2019-05-07,1.5677,4245,7.71,67873,15,9,97.86,3,15,95,137,25.06,0,0,80,6655,317.3461,0:02:51,3.284
2019-05-08,1.5532,12739,9.12,164394,91,24,96.64,27,22,223,777,28.22,1,1,201,19786,1057.3096,0:03:12,13.43
2019-05-09,1.5198,18207,9.1,233742,46,28,96.08,30,16,290,735,23.03,0,0,274,27671,1231.8775,0:02:40,16.065
2019-05-10,1.5352,14492,8.48,193156,41,22,96.69,16,24,264,467,20.59,0,0,240,22248,926.0219,0:02:29,15.758
2019-05-11,1.5023,15273,8.55,191170,30,22,95.57,17,23,231,367,18.31,0,0,208,22944,863.7662,0:02:15,16.8
2019-05-12,1.4684,11737,7.77,157557,30,21,96.12,12,23,203,297,17.69,0,0,180,17235,620.7024,0:02:09,12.457
2019-05-13,1.5107,10081,8.02,140224,18,6,96.67,10,20,162,290,19.14,0,0,142,15229,582.2652,0:02:17,9.915
2019-05-14,1.5143,16927,8.6,214243,164,30,98.13,19,33,222,999,28.16,1,1,189,25632,1327.7768,0:03:06,22.873
2019-05-15,1.5591,26430,8.27,367530,98,48,96.65,37,30,368,1067,27.54,0,0,338,41208,2026.0944,0:02:57,27.535
2019-05-16,1.6732,19240,7.52,315505,53,37,96.08,28,36,316,686,26.33,0,0,280,32193,1572.8606,0:02:55,21.604
2019-05-17,1.572,23762,7.39,368686,106,44,97.21,29,27,374,1009,27.12,1,1,347,37353,1808.8299,0:02:54,25.571
2019-05-18,1.6234,21880,7.81,336909,66,53,96.46,31,34,435,844,26.12,0,0,401,35521,1684.9227,0:02:50,22.505
2019-05-19,1.5783,19478,7.78,294634,62,29,96.92,24,32,358,754,26.24,0,0,326,30742,1456.3416,0:02:50,15.554
2019-05-20,1.5748,24169,8.02,367447,65,58,96.25,40,37,451,1028,28.16,0,0,414,38061,1916.2439,0:03:01,19.769
2019-05-21,1.6112,28589,8.04,439621,91,78,95.65,61,44,627,1342,28.47,0,0,583,46063,2351.3596,0:03:03,19.956
2019-05-22,1.6097,19171,7.66,315664,44,56,97.01,27,38,439,875,29.52,0,0,401,30859,1598.5392,0:03:06,12.042
2019-05-23,1.6256,16105,7.45,274897,57,49,96.22,28,23,328,712,29.65,1,1,305,26181,1354.4051,0:03:06,9.615
2019-05-24,1.5474,17507,6.45,321925,95,42,97.57,26,36,284,1044,31.09,0,0,248,27090,1465.1937,0:03:14,10.734
2019-05-25,1.586,14139,6.72,262715,40,41,96.3,29,18,268,754,28.37,0,0,250,22425,1122.278,0:03:00,8.037
2019-05-26,1.5416,12257,7.12,212842,26,30,96.35,23,28,240,607,28.11,0,0,212,18896,942.451,0:02:59,6.737
2019-05-27,1.5256,11335,7.12,193483,38,25,96.96,16,17,222,510,27.02,0,0,205,17293,839.2141,0:02:54,5.566
2019-05-28,1.5004,10841,7.34,179830,33,31,95.92,19,23,213,447,27.04,0,0,190,16266,774.5095,0:02:51,4.78
2019-05-29,1.5015,15964,7.75,238812,186,67,97.71,28,36,367,1197,27.22,1,1,331,23970,1236.4082,0:03:05,12.896
2019-05-30,1.4852,14370,7.14,229556,77,44,98.58,13,20,320,904,25.68,0,0,300,21343,1003.7672,0:02:49,9.946
2019-05-31,1.523,9611,7.59,152976,34,32,96.91,17,23,228,534,27.7,0,0,205,14638,696.1298,0:02:51,7.055
2019-06-01,1.4912,7458,7.49,117794,24,18,98.94,4,20,174,375,26.92,0,0,154,11121,500.7895,0:02:42,3.258
2019-06-02,1.4371,14058,8.1,194352,133,45,99.33,8,29,232,1178,35.95,1,1,203,20203,1248.9671,0:03:42,8.26
2019-06-03,1.4406,11906,7.22,185839,54,48,97.67,15,28,206,628,31.41,0,0,178,17152,900.1142,0:03:08,5.755
2019-06-04,1.4804,5373,5.91,103349,40,19,97.23,9,24,141,316,31.26,0,0,117,7954,420.5782,0:03:10,2.479
2019-06-05,1.4517,7884,6.24,136970,126,47,98.32,11,38,176,643,24.03,1,1,138,11445,549.3121,0:02:52,7.714
2019-06-06,1.4895,1898,5.03,38870,17,5,100,0,19,51,98,24.57,0,0,32,2827,132.7672,0:02:49,1.405
2019-06-07,1.6667,564,4.49,14668,3,3,92.31,3,12,31,36,20.44,0,0,19,940,36.8354,0:02:21,0.42
2019-06-08,1.4798,446,4.85,9007,3,1,96.67,1,11,14,29,19.59,0,0,3,660,26.0859,0:02:22,0.379
2019-06-09,1.6563,323,4.96,7536,3,2,92.86,1,6,9,13,19.77,0,0,3,535,20.1928,0:02:15,0.345
2019-06-10,1.316,2446,6.78,33456,67,4,99.69,1,27,19,320,36.11,1,2,-8,3219,297.1865,0:05:32,3.147
2019-06-11,1.3455,1829,5.47,32014,14,11,98.28,2,9,17,114,29.49,0,0,8,2461,182.2616,0:04:26,1.58
2019-06-12,1.2996,1629,5.76,27800,9,3,100,0,15,34,64,26.28,0,0,19,2117,100.3671,0:02:50,0.963
2019-06-13,1.2972,1356,5.6,23682,10,4,94.12,2,7,22,32,27.09,0,0,15,1759,81.425,0:02:46,0.62
2019-06-14,1.2823,5038,7.77,62232,65,24,97.8,11,27,41,489,39.47,1,1,14,6460,299.1425,0:02:46,3.544
2019-06-15,1.2347,4878,6.93,68521,27,12,97.46,7,14,33,269,36.95,0,0,19,6023,254.4412,0:02:32,2.491
2019-06-16,1.3134,2843,4.86,59420,14,13,96.48,5,6,33,137,32.51,0,0,27,3734,152.7848,0:02:27,1.704
2019-06-17,1.3106,2534,4.84,53272,10,11,96.72,4,7,31,118,30.77,0,0,24,3321,129.6908,0:02:20,1.483
2019-06-18,1.3196,3654,6.41,61659,24,13,96.49,6,15,67,165,35.72,0,0,52,4822,209.2285,0:02:36,2.111
2019-06-19,1.3192,7196,7.97,95131,51,34,97.93,9,28,90,425,32,1,1,62,9493,407.3768,0:02:34,3.911
2019-06-20,1.3713,2187,5.64,39491,14,8,95.7,4,14,29,89,28.68,0,0,15,2999,129.9433,0:02:35,1.791
2019-06-21,1.4151,2250,5.88,41977,9,18,96.91,3,11,30,94,30.27,0,0,19,3184,141.0837,0:02:39,1.334
2019-06-22,1.4086,2565,5.79,48288,16,12,95.97,5,9,46,119,29.47,0,0,37,3613,149.2684,0:02:28,2.326
2019-06-23,1.4412,1770,5.52,37776,9,4,93.65,4,10,28,59,28.36,0,0,18,2551,99.1161,0:02:19,1.088
2019-06-24,1.3961,1371,6.19,24450,3,7,97.18,2,9,22,69,28.57,0,0,13,1914,72.3909,0:02:16,1.074
2019-06-25,1.4713,1239,6.28,22701,5,5,93.75,3,12,31,45,27.91,0,0,19,1823,72.2466,0:02:22,0.858
2019-06-26,1.4033,1148,6.6,19251,4,4,95.24,2,8,18,40,29.43,0,0,10,1611,64.9281,0:02:25,0.568
2019-06-27,1.301,794,6.25,12892,2,1,100,0,3,6,11,28.57,0,0,3,1033,37.6538,0:02:11,0.35
2019-06-28,1.3714,587,6.32,9752,2,13,100,0,5,12,22,27.38,0,0,7,805,30.3068,0:02:15,0.235
2019-06-29,1.4368,380,5.88,7200,1,8,88.89,3,5,12,24,25.87,0,0,7,546,21.8317,0:02:23,0.156
2019-06-30,1.3353,662,7.16,9848,2,5,100,0,4,13,30,29.28,0,0,9,884,34.6625,0:02:21,0.314
2019-07-01,1.3662,497,5.84,8409,1,5,100,0,5,10,19,31.19,0,0,5,679,29.6554,0:02:37,0.174
2019-07-02,1.4259,594,6.99,9172,0,3,94.44,1,5,11,17,30.31,0,0,6,847,35.9029,0:02:32,0.25
2019-07-03,1.3503,471,6.32,7451,1,3,100,0,14,10,15,26.13,0,0,-4,636,24.4187,0:02:18,0.262
2019-07-04,1.3316,591,6.83,9093,2,3,100,0,8,9,15,30.7,0,0,1,787,33.5781,0:02:33,0.242
2019-07-05,1.2885,468,6.26,6912,3,0,87.5,2,8,12,14,30.7,0,0,4,603,26.1292,0:02:35,0.146
2019-07-06,1.3739,444,6.17,7650,8,5,100,0,6,9,22,28.57,0,0,3,610,24.3045,0:02:23,0.217
2019-07-07,1.3685,540,6.77,8571,2,2,100,0,9,12,12,28.57,0,0,3,739,29.7964,0:02:25,0.213
2019-07-08,1.2897,1108,8.76,12921,5,2,94.74,3,6,30,54,31.7,0,0,24,1429,55.1265,0:02:18,0.361
2019-07-09,1.2531,897,8.35,10713,3,4,97.22,1,9,19,35,34.74,0,0,10,1124,46.6616,0:02:29,0.251
2019-07-10,1.2319,1475,8.71,16464,8,7,97.18,2,5,22,69,32.2,0,0,17,1817,68.2389,0:02:15,0.332
2019-07-11,1.1858,2675,9.61,27017,3,13,98.26,2,4,43,113,34.79,0,0,39,3172,120.0917,0:02:16,0.752
2019-07-12,1.1785,3103,9.49,31141,7,17,97.41,3,9,57,113,36.39,0,0,48,3657,141.337,0:02:19,0.731
2019-07-13,1.1725,4598,9.11,48397,13,15,96.55,6,6,68,168,35.89,0,0,62,5391,202.093,0:02:14,1.743
2019-07-14,1.2037,5714,8.19,67264,13,25,96.02,7,16,83,169,35.31,0,0,67,6878,251.1171,0:02:11,2.506
2019-07-15,1.1786,6698,7.79,80078,12,37,97.26,6,9,84,213,34.64,0,0,75,7894,276.7091,0:02:06,2.419
2019-07-16,1.1386,7107,8.27,77346,5,36,95.34,9,17,95,184,36.03,0,0,78,8092,285.6912,0:02:07,2.993
2019-07-17,1.2356,6889,8.27,77506,58,21,97.49,11,22,71,427,37.37,1,1,49,8512,449.3147,0:03:10,5.826
2019-07-18,1.2399,5806,6.71,82388,24,14,97.93,6,13,77,284,31.49,0,0,64,7199,353.7647,0:02:56,3.47
2019-07-19,1.2925,2427,6.6,36770,9,5,95.59,6,6,34,130,32.55,0,0,28,3137,142.4073,0:02:43,1.701
2019-07-20,1.2104,1754,6.54,25999,7,4,98.15,1,10,20,53,30.79,0,0,10,2123,87.8498,0:02:28,1.129
2019-07-21,1.2672,1699,6.62,25822,4,6,96.3,2,9,20,52,30.97,0,0,11,2153,87.0509,0:02:25,1.142
2019-07-22,1.2775,1802,6.69,26543,6,8,97.87,1,8,29,46,29.73,0,0,21,2302,91.1893,0:02:22,1.172
2019-07-23,1.2766,1540,6.75,23626,3,12,96.36,2,7,24,53,30.98,0,0,17,1966,81.4052,0:02:29,1.011
2019-07-24,1.2616,1231,5.64,21688,1,4,96.88,1,6,14,31,27.86,0,0,8,1553,60.2926,0:02:19,0.826
2019-07-25,1.3522,971,6.27,17285,2,5,96.3,1,9,19,26,26.9,0,0,10,1313,52.2014,0:02:23,0.618
2019-07-26,1.3123,855,5.91,15446,3,0,78.57,3,6,12,11,25.14,0,0,6,1122,38.1313,0:02:02,0.487
